country,level1_name,level2_name,level3_name,level4_name,level4_id,lat,lon,ma_name,3_community,submissionid,45_leadership_position
PHL,Caraga,Surigao del Norte,Dapa,San Miguel,1752,9.719405,126.031323,SDN_Dapa,San Miguel,e2c66d50-86cb-4283-bd86-e41e5e606dca,No
PHL,Caraga,Surigao del Norte,Dapa,San Miguel,1752,9.719405,126.031323,SDN_Dapa,San Miguel,0f3cf94e-34e7-4052-b53b-1b9d7736254c,No
PHL,Caraga,Surigao del Norte,Dapa,San Miguel,1752,9.719405,126.031323,SDN_Dapa,San Miguel,d1dc6463-1326-4a74-a7ca-ba4219cd65aa,No
PHL,Caraga,Surigao del Norte,Dapa,San Miguel,1752,9.719405,126.031323,SDN_Dapa,San Miguel,105a5f3f-a134-4319-97c4-b41c45339d72,No
PHL,Caraga,Surigao del Norte,Dapa,Bagacay,1735,9.724943,126.048407,SDN_Dapa,Bagacay,4fbedf6a-bdb5-4cf5-b496-ebfca057e8d3,No
PHL,Caraga,Surigao del Norte,Dapa,Bagacay,1735,9.724943,126.048407,SDN_Dapa,Bagacay,3a2e972a-c37e-4ae6-8794-bedd1e73f5f9,No
PHL,Caraga,Surigao del Norte,Dapa,Bagacay,1735,9.724943,126.048407,SDN_Dapa,Bagacay,89f6125a-777a-466d-9cab-15025fee1acb,No
PHL,Western Visayas,Antique,Libertad,Union,1860,11.763381,121.896011,Antique_Libertad,Union,441596cf-c96b-4f7e-bbe5-19fac489598a,No
PHL,Western Visayas,Antique,Libertad,Union,1860,11.763381,121.896011,Antique_Libertad,Union,aa533ec0-65d4-4bd4-a596-fda04f822d4a,No
PHL,Caraga,Surigao del Norte,Dapa,Bagacay,1735,9.724943,126.048407,SDN_Dapa,Bagacay,f9edce93-cfc4-4f2c-a533-85d1bee7dc21,No
PHL,Western Visayas,Antique,Libertad,Union,1860,11.763381,121.896011,Antique_Libertad,Union,21ae8d55-693d-4413-9e0b-644a5d4ac0d4,No
PHL,Western Visayas,Antique,Libertad,Union,1860,11.763381,121.896011,Antique_Libertad,Union,4fe5f5ad-4358-48c5-9f26-357347865198,No
PHL,Western Visayas,Antique,Libertad,Union,1860,11.763381,121.896011,Antique_Libertad,Union,fb54ccce-8e9e-44f6-885a-c37dc842866a,No
PHL,Caraga,Surigao del Norte,Del Carmen,Bitoon,1757,9.789537,126.004964,SDN_DelCarmen,1757,15713286-20ed-43c2-86d1-45b245164c67,Yes male
PHL,Caraga,Surigao del Norte,Del Carmen,Bitoon,1757,9.789537,126.004964,SDN_DelCarmen,1757,38ff2685-1234-4c1c-b7ab-11c1a4306d4a,No
PHL,Caraga,Surigao del Norte,Del Carmen,Del Carmen,1760,9.865369,125.990128,SDN_DelCarmen,1760,7b34cb3b-50e4-48fd-b09a-82ff3f55b071,No
PHL,Caraga,Surigao del Norte,Del Carmen,Del Carmen,1760,9.865369,125.990128,SDN_DelCarmen,1760,aa1abb3d-4533-41d7-bd79-4f85b3f37e5a,No
PHL,Caraga,Surigao del Norte,Del Carmen,Del Carmen,1760,9.865369,125.990128,SDN_DelCarmen,1760,cc47d5f2-e0d8-4ef7-a7f5-bfc1a9fe57e8,No
PHL,Caraga,Surigao del Norte,Del Carmen,Del Carmen,1760,9.865369,125.990128,SDN_DelCarmen,1760,e260b235-ebd1-42e5-84fc-86de5cc0dae2,No
PHL,Caraga,Surigao del Norte,Del Carmen,Del Carmen,1760,9.865369,125.990128,SDN_DelCarmen,1760,d9473b42-cec3-4a0b-b861-4260c9b0cb5f,No
PHL,Caraga,Surigao del Norte,Del Carmen,Del Carmen,1760,9.865369,125.990128,SDN_DelCarmen,1760,e77c5e11-0441-43b6-9247-9f0e83b86ae0,No
PHL,Caraga,Surigao del Norte,Del Carmen,Del Carmen,1760,9.865369,125.990128,SDN_DelCarmen,1760,1f6619f0-6bf6-41ab-a4f3-f152986f279c,Yes female
PHL,Caraga,Surigao del Norte,Del Carmen,Del Carmen,1760,9.865369,125.990128,SDN_DelCarmen,1760,1f6619f0-6bf6-41ab-a4f3-f152986f279c,Yes male
PHL,Caraga,Surigao del Norte,Del Carmen,Del Carmen,1760,9.865369,125.990128,SDN_DelCarmen,1760,6f3bc470-5170-426a-bcdc-ae31673fd85e,No
PHL,Caraga,Surigao del Norte,Del Carmen,Del Carmen,1760,9.865369,125.990128,SDN_DelCarmen,1760,75a8561c-814a-4e94-bee0-2dc7e884beb5,No
PHL,Caraga,Surigao del Norte,Del Carmen,Del Carmen,1760,9.865369,125.990128,SDN_DelCarmen,1760,c9ad7bc9-1e3e-49e0-b138-9ec04ef785a1,No
HND,Cortés,Puerto Cortés,,Travesía,467,15.862647,-87.905586,Puerto Cortés,Travesía,7462e568-2c32-4666-a8de-de8ccfa601ff,No
PHL,Caraga,Surigao del Norte,Dapa,San Carlos,1751,9.704019,125.985683,SDN_Dapa,San Carlos,3f3df595-cf7b-4185-86fb-ea2eaaccd6e5,Not sure
PHL,Caraga,Surigao del Norte,Dapa,San Carlos,1751,9.704019,125.985683,SDN_Dapa,San Carlos,3f3df595-cf7b-4185-86fb-ea2eaaccd6e5,No
PHL,Western Visayas,Antique,Libertad,Union,1860,11.763381,121.896011,Antique_Libertad,Union,42d8020e-a098-4858-85cf-2531572d4385,No
PHL,Western Visayas,Antique,Libertad,Union,1860,11.763381,121.896011,Antique_Libertad,Union,42d8020e-a098-4858-85cf-2531572d4385,Not sure
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,144a06c4-5df7-48fe-8748-a475f8e216ca,Not sure
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,144a06c4-5df7-48fe-8748-a475f8e216ca,No
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,33e2aad9-f059-4012-974f-01a116f8a6e3,Not sure
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,33e2aad9-f059-4012-974f-01a116f8a6e3,No
PHL,Western Visayas,Antique,Libertad,Union,1860,11.763381,121.896011,Antique_Libertad,Union,3636e50e-e282-49a9-9753-71c8f3d17ed1,Not sure
